@relation emotion

@attribute outlook {fear , guilt, joy}
@attribute em1 real
@attribute em2 real
@attribute em3 real
@attribute em4 real
@attribute em5 real
@attribute em6 real
@attribute em7 real
@attribute em8 real
@attribute em9 real
@attribute em10 real

@data
fear,0,1,0,0,0,1,0,1,0,0
fear,3,0,1,2,0,3,0,2,0,0
fear,1,0,1,1,0,1,0,2,0,0
fear,0,0,0,0,0,1,1,1,0,1
fear,0,0,0,1,0,1,0,0,0,0
fear,0,1,0,0,0,1,0,1,0,0
fear,1,2,2,1,2,1,2,1,2,2
fear,0,0,0,0,0,0,1,0,0,1
fear,2,1,1,1,0,3,1,1,0,0
fear,0,0,0,1,0,1,1,1,0,0
fear,0,1,0,1,0,0,0,0,0,0
fear,0,0,0,1,0,1,1,0,0,1
fear,0,0,0,0,0,1,0,0,0,0
fear,1,1,1,1,0,1,0,1,0,0
fear,0,0,1,1,0,3,0,2,0,0
fear,1,0,0,1,0,1,0,0,0,0
fear,2,2,3,3,2,3,2,3,2,2
fear,2,2,1,2,1,2,1,2,1,1
fear,0,0,0,0,0,0,0,0,0,0
fear,2,2,2,2,1,2,2,2,2,1
fear,1,1,1,2,1,1,1,1,1,1
fear,0,1,0,0,0,1,3,0,0,1
fear,0,0,0,1,0,1,0,0,0,0
fear,0,0,0,0,0,0,0,1,0,0
fear,2,1,0,4,1,4,2,3,1,1
fear,0,0,0,0,0,0,0,0,0,0
fear,1,0,1,1,1,1,1,1,0,1
fear,0,0,0,1,1,0,2,0,0,1
fear,1,1,2,1,1,1,1,0,1,1
fear,0,0,0,0,0,0,0,0,0,0
fear,2,1,0,1,0,2,2,0,0,1
fear,2,0,0,1,0,2,0,1,0,0
fear,0,0,0,0,0,0,0,0,0,1
fear,1,0,1,1,0,1,0,1,1,0
fear,1,0,1,1,0,1,0,1,0,0
fear,1,0,1,1,0,1,0,1,0,0
fear,0,1,0,0,0,0,0,0,0,0
fear,0,1,1,0,0,1,0,0,0,0
fear,2,0,2,1,0,2,0,1,0,0
fear,1,2,1,2,1,2,2,2,1,0
fear,0,0,0,0,0,1,0,1,0,1
fear,0,0,0,1,0,1,1,0,0,0
fear,0,1,0,1,0,1,0,1,1,0
fear,1,0,0,1,0,1,0,1,0,0
fear,1,0,0,0,0,0,0,0,0,0
fear,1,0,0,0,0,1,0,0,0,0
fear,0,0,0,1,0,0,0,0,0,0
fear,0,0,0,0,0,1,0,1,0,0
fear,0,1,0,2,1,2,1,0,0,1
fear,0,0,0,0,0,0,0,0,0,0
fear,0,1,0,0,0,0,0,0,0,0
fear,2,1,1,2,1,2,1,3,1,1
fear,0,1,0,0,0,0,1,0,0,1
fear,0,2,0,1,1,1,1,1,0,1
fear,0,0,0,0,0,0,0,0,0,1
fear,2,2,1,1,1,1,3,1,2,2
fear,0,0,0,2,0,2,1,1,0,0
fear,0,0,0,0,1,0,1,0,0,1
fear,0,0,0,0,0,0,0,0,1,0
fear,0,0,0,0,1,0,1,0,1,1
fear,0,0,0,0,0,0,3,0,0,1
fear,2,1,0,2,1,2,1,1,0,1
fear,0,0,0,0,0,0,0,0,0,0
fear,0,1,0,0,0,1,0,1,0,0
fear,2,1,2,2,1,2,1,2,1,1
fear,0,1,1,0,1,0,1,0,1,1
fear,1,1,0,1,0,1,2,1,0,0
fear,0,0,0,0,0,1,0,1,0,0
fear,1,0,1,1,0,1,1,1,0,1
fear,1,0,2,0,0,2,0,0,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,0,0,0,1,0,1,1,0,0,0
fear,1,0,1,2,1,2,4,1,1,3
fear,0,0,0,1,0,1,0,0,1,0
fear,0,1,0,0,1,1,1,1,1,1
fear,0,1,0,1,1,1,1,0,0,0
fear,1,2,1,2,1,2,1,1,2,1
fear,1,2,1,1,2,1,3,1,2,3
fear,1,3,1,2,3,1,4,1,1,1
fear,1,0,0,2,0,2,0,2,1,0
fear,0,0,0,2,0,3,0,2,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,0,0,0,0,0,0,0,1,0,0
fear,0,0,0,0,0,0,1,0,0,0
fear,2,0,1,1,0,2,0,2,0,0
fear,1,1,1,1,2,2,2,2,1,3
fear,1,2,1,2,1,2,2,1,2,1
fear,0,0,0,0,0,1,0,0,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,0,1,0,0,1,1,1,1,0,1
fear,0,1,0,0,1,1,1,1,0,1
fear,0,1,1,0,1,2,1,0,0,0
fear,0,3,0,0,2,0,3,0,1,2
fear,0,1,0,0,0,0,1,0,0,0
fear,1,3,1,1,1,1,3,1,1,1
fear,2,1,2,2,2,2,3,2,1,1
fear,1,0,1,1,0,1,0,1,0,0
fear,0,0,0,0,0,1,1,1,0,0
fear,0,0,0,1,0,1,1,1,1,0
fear,0,0,0,0,0,0,0,0,0,1
fear,0,0,0,2,0,2,0,1,1,0
fear,0,0,1,1,0,1,0,0,0,0
fear,1,0,1,1,1,1,0,1,0,0
fear,1,0,0,0,0,0,0,0,1,0
fear,0,1,0,2,0,3,1,1,0,1
fear,2,1,2,4,1,3,3,3,1,2
fear,0,1,0,1,1,2,1,1,0,1
fear,1,0,1,1,0,1,1,1,0,0
fear,0,3,0,0,1,0,5,0,0,2
fear,0,0,0,2,0,2,0,0,1,0
fear,0,0,0,0,1,0,1,0,1,0
fear,0,0,0,1,0,0,1,0,0,1
fear,1,0,1,1,0,1,0,1,0,0
fear,0,0,0,1,0,2,1,0,1,0
fear,0,0,0,1,0,1,1,0,0,2
fear,0,0,0,1,1,0,0,0,0,0
fear,0,0,0,1,0,1,0,0,0,0
fear,0,1,0,1,1,1,1,0,1,0
fear,1,1,1,1,1,1,1,1,1,1
fear,0,0,0,0,0,0,0,0,0,0
fear,1,0,0,0,0,2,0,1,0,0
fear,1,2,1,2,1,2,1,1,1,1
fear,0,0,0,0,0,0,0,0,1,0
fear,1,1,0,1,0,1,1,0,1,1
fear,0,0,0,0,0,0,0,0,0,0
fear,1,1,1,1,0,1,1,1,0,0
fear,0,1,0,0,0,0,1,0,0,0
fear,1,0,1,1,0,1,0,1,0,0
fear,0,0,0,2,0,2,0,0,0,0
fear,0,1,0,3,2,4,4,3,2,3
fear,1,1,1,1,1,2,2,1,1,1
fear,0,0,0,1,0,1,0,0,0,0
fear,1,3,1,1,2,1,2,1,2,2
fear,0,1,0,0,1,0,1,0,0,1
fear,2,0,0,2,0,3,0,2,1,0
fear,2,2,2,2,2,2,2,2,1,3
fear,0,0,0,1,0,0,0,0,0,0
fear,2,1,2,2,0,3,2,1,1,2
fear,1,2,1,1,0,1,1,1,1,1
fear,1,0,1,1,0,2,0,2,1,0
fear,0,1,0,3,0,3,0,2,2,0
fear,1,0,0,1,1,1,1,0,0,1
fear,1,1,1,1,0,1,0,1,1,0
fear,0,0,0,0,0,0,1,0,0,1
fear,1,1,0,1,0,1,1,0,0,1
fear,0,0,0,0,0,0,0,0,0,0
fear,0,0,0,0,1,1,1,1,0,1
fear,1,1,1,1,1,1,1,2,1,1
fear,1,0,1,1,0,1,0,2,0,0
fear,0,2,0,0,0,0,0,0,1,0
fear,1,2,0,1,0,3,0,1,0,0
fear,1,0,1,1,0,1,0,1,1,0
fear,2,1,0,4,2,3,2,2,1,3
fear,1,0,0,1,1,1,1,0,0,0
fear,0,0,0,0,0,1,0,0,0,0
fear,1,0,1,1,0,1,0,1,0,0
fear,0,0,0,1,0,1,0,1,1,0
fear,2,0,0,2,0,2,1,0,0,0
fear,1,0,1,1,0,1,0,2,1,0
fear,0,0,0,0,0,0,0,0,1,0
fear,0,2,0,0,3,0,3,1,2,2
fear,0,0,0,0,0,0,1,1,0,0
fear,2,1,1,2,0,2,0,1,1,0
fear,1,0,0,1,0,1,0,0,0,0
fear,1,2,0,2,0,2,2,0,0,0
fear,3,0,0,4,0,6,1,1,2,1
fear,0,0,0,0,0,0,0,0,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,0,0,0,2,0,1,1,0,0,1
fear,1,1,0,2,1,2,1,0,0,1
fear,1,1,1,1,1,1,1,1,0,0
fear,0,2,0,1,0,0,0,0,0,0
fear,0,0,0,0,0,0,0,0,1,0
fear,0,1,0,0,0,0,0,0,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,0,0,0,1,0,1,0,0,1,0
fear,2,0,2,2,1,2,2,2,0,0
fear,0,0,0,0,1,1,1,1,0,1
fear,0,1,0,0,0,1,0,0,0,0
fear,0,0,0,0,1,0,2,0,0,0
fear,0,0,0,1,0,1,0,1,0,0
fear,0,0,0,2,1,2,1,0,0,1
fear,1,0,0,2,0,3,1,1,1,0
fear,0,0,0,0,0,0,1,1,0,0
fear,0,1,0,1,0,1,0,0,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,0,1,0,0,0,0,1,0,0,1
fear,1,2,1,1,2,1,2,1,2,1
fear,0,0,0,0,0,1,0,1,0,0
fear,2,0,2,3,0,5,0,3,0,0
fear,0,1,0,1,0,2,0,1,1,0
fear,0,0,0,1,0,1,0,1,0,0
fear,0,1,1,1,1,2,3,2,0,1
fear,1,0,0,1,0,1,0,0,0,0
fear,1,0,1,2,0,2,0,2,1,0
fear,1,0,0,1,0,1,0,0,0,0
fear,0,1,0,0,0,0,0,1,0,0
fear,1,0,0,0,0,1,1,0,0,0
fear,1,1,0,2,1,1,1,0,0,2
fear,0,0,0,0,0,0,0,0,0,0
fear,2,0,0,3,1,2,1,0,1,0
fear,0,0,0,0,1,0,1,0,1,1
fear,0,1,0,0,1,0,1,1,1,0
fear,1,0,0,1,0,1,1,2,0,0
fear,1,1,1,1,1,1,2,1,1,1
fear,1,0,1,1,0,1,0,1,0,0
fear,0,0,0,0,0,0,1,1,0,0
fear,1,1,0,1,0,2,0,0,0,0
fear,2,0,2,2,0,2,0,1,1,0
fear,2,2,1,2,0,2,0,1,0,1
fear,1,1,1,2,0,2,1,0,1,0
fear,0,1,1,1,1,1,1,0,0,0
fear,0,0,0,2,0,2,0,2,1,0
fear,0,0,0,0,1,0,1,0,0,1
fear,0,0,0,0,0,0,0,0,0,0
fear,0,2,0,3,0,3,2,0,0,0
fear,1,1,1,1,1,1,2,1,1,1
fear,0,0,1,0,1,0,1,0,0,1
fear,0,0,0,1,1,0,1,0,0,1
fear,0,0,0,3,0,2,0,0,0,0
fear,0,0,0,1,0,1,0,1,1,0
fear,0,0,0,1,0,1,0,0,0,0
fear,1,0,0,2,0,2,0,1,1,0
fear,1,1,1,2,1,2,1,1,1,1
fear,1,0,1,1,0,1,0,1,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,1,0,0,1,0,1,0,0,0,0
fear,1,0,1,2,0,2,0,1,0,0
fear,2,1,2,2,1,2,2,2,1,2
fear,0,0,0,1,0,1,0,1,0,2
fear,1,1,0,1,0,1,0,0,0,0
fear,0,0,0,1,0,1,0,1,1,0
fear,0,0,0,1,0,1,0,1,1,0
fear,0,0,0,1,0,1,0,1,0,0
fear,0,1,0,1,0,1,0,1,0,0
fear,0,0,0,0,0,0,0,0,0,2
fear,0,0,1,1,0,1,0,1,1,0
fear,0,0,0,0,0,0,0,0,0,1
fear,1,1,0,1,0,1,0,1,0,0
fear,1,1,0,1,0,1,0,1,0,0
fear,0,1,0,0,0,0,1,0,0,0
fear,1,1,0,1,0,1,2,0,0,2
fear,0,1,0,0,0,0,0,0,0,0
fear,0,1,0,2,0,2,1,2,1,1
fear,1,1,0,2,1,2,3,0,0,1
fear,2,0,0,2,0,2,0,1,1,0
fear,0,1,0,1,1,1,1,1,0,0
fear,1,0,1,2,1,2,2,1,0,2
fear,0,1,0,0,1,2,1,1,0,1
fear,2,2,1,2,1,3,1,2,0,1
fear,0,0,0,2,0,0,1,0,1,1
fear,1,0,0,1,1,1,2,0,0,1
fear,1,1,0,1,0,1,0,0,0,1
fear,0,0,0,0,0,0,0,0,1,0
fear,2,1,1,0,0,2,0,0,1,0
fear,0,1,0,0,1,0,1,0,0,0
fear,2,1,2,2,1,2,1,2,1,2
fear,0,0,0,0,1,0,1,0,1,2
fear,0,0,0,0,0,1,1,0,0,0
fear,1,1,1,1,1,2,1,2,0,1
fear,0,0,0,0,0,0,0,0,0,0
fear,1,1,1,2,1,2,1,1,2,1
fear,0,1,0,0,0,1,1,0,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,1,2,1,1,0,2,0,2,1,0
fear,0,3,0,0,0,1,1,1,0,1
fear,0,0,0,0,0,0,0,0,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,0,0,0,0,0,1,0,0,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,1,0,1,2,0,2,0,1,0,0
fear,0,1,0,1,0,1,1,0,0,1
fear,1,0,0,1,0,1,2,1,0,0
fear,2,0,0,1,2,2,2,1,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,1,0,0,2,0,2,1,0,0,1
fear,0,0,0,0,0,0,1,1,0,0
fear,0,1,0,0,0,1,0,0,0,0
fear,1,0,0,2,1,2,3,1,0,1
fear,0,0,0,1,1,0,1,0,0,1
fear,0,0,0,0,0,0,1,0,0,2
fear,0,0,0,0,1,0,1,0,0,2
fear,0,0,0,1,0,1,0,0,1,0
fear,0,0,0,0,0,1,0,1,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,1,0,1,1,0,2,0,0,0,0
fear,0,0,0,0,0,1,0,1,0,0
fear,1,0,0,1,0,2,0,0,0,0
fear,1,0,0,1,0,0,1,0,0,1
fear,2,1,0,3,0,3,0,1,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,0,0,0,0,0,1,1,1,0,0
fear,0,0,0,0,0,1,0,0,0,1
fear,0,0,0,0,0,0,1,0,0,1
fear,1,0,1,2,0,2,0,2,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,1,0,0,1,0,1,0,0,0,0
fear,0,1,0,1,0,2,0,0,0,0
fear,0,0,0,0,0,0,1,0,0,0
fear,1,1,1,1,1,1,1,1,1,1
fear,1,0,0,1,1,1,2,0,0,1
fear,0,0,0,1,0,1,0,1,0,1
fear,0,1,0,1,0,1,0,0,0,0
fear,1,1,0,1,0,3,1,1,0,0
fear,0,0,0,0,0,2,0,0,0,1
fear,0,0,0,0,1,1,2,0,0,1
fear,1,1,2,1,1,3,1,2,0,0
fear,1,2,1,1,1,1,3,1,1,1
fear,2,2,2,3,3,3,4,3,2,4
fear,1,1,1,1,1,1,1,1,1,1
fear,3,2,3,4,1,4,1,2,3,1
fear,1,1,1,1,1,1,2,1,1,1
fear,0,1,0,0,1,0,2,0,0,0
fear,2,0,1,2,0,2,0,0,0,0
fear,0,0,0,0,0,0,1,0,1,0
fear,2,1,1,2,1,1,1,1,1,1
fear,1,2,1,1,1,2,3,1,1,3
fear,0,0,0,1,0,1,0,0,0,0
fear,1,1,0,0,0,2,0,1,0,0
fear,0,0,1,0,0,1,0,0,0,0
fear,0,0,0,0,0,1,0,1,0,0
fear,0,0,0,0,0,0,1,0,0,0
fear,0,1,0,2,1,1,2,1,0,2
fear,4,1,1,4,1,4,1,1,3,1
fear,1,1,1,2,1,2,1,1,2,1
fear,0,0,0,0,0,0,0,0,0,0
fear,0,0,0,0,1,0,1,0,0,1
fear,0,0,0,0,0,0,0,0,0,0
fear,1,0,1,1,0,2,0,2,0,1
fear,2,0,0,1,1,2,2,1,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,1,0,0,0,0,2,0,1,0,0
fear,1,1,0,0,0,2,0,1,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,0,0,0,0,0,1,0,0,0,0
fear,1,1,1,2,1,2,1,3,0,3
fear,1,0,0,0,0,1,0,0,0,0
fear,1,0,1,1,0,1,1,1,1,0
fear,0,0,0,1,0,1,0,1,0,1
fear,2,4,1,2,3,2,3,1,2,2
fear,1,0,1,1,0,1,0,1,0,1
fear,0,2,0,1,0,0,0,1,0,1
fear,3,1,3,3,1,3,2,3,2,2
fear,1,1,1,1,1,1,1,1,1,2
fear,1,2,1,1,1,1,2,1,1,2
fear,0,1,0,1,0,2,0,0,0,0
fear,0,1,0,0,1,1,1,0,0,1
fear,0,1,0,0,0,0,0,0,0,0
fear,1,1,0,1,0,1,1,0,0,0
fear,0,0,0,0,2,0,2,0,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,0,1,0,1,1,0,2,0,1,3
fear,0,0,0,0,0,0,0,0,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,0,1,1,0,0,1,0,1,0,0
fear,0,1,0,0,1,0,3,1,0,2
fear,0,2,1,0,1,1,3,1,0,1
fear,0,0,0,1,0,0,0,0,0,0
fear,0,0,1,0,0,0,1,1,0,0
fear,1,2,1,1,2,1,3,0,0,2
fear,3,0,0,4,0,6,0,2,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,0,2,0,0,0,1,0,0,1,0
fear,0,0,0,0,0,1,0,1,0,0
fear,1,0,0,2,1,2,1,1,0,1
fear,0,0,0,0,0,0,0,0,0,0
fear,1,0,0,1,0,1,0,1,1,0
fear,1,1,1,1,0,1,0,1,1,0
fear,3,1,3,4,1,4,1,3,1,1
fear,1,0,1,1,0,1,0,1,0,0
fear,0,1,0,0,0,0,0,0,0,0
fear,1,0,0,1,1,1,1,0,0,0
fear,0,0,0,0,0,0,1,0,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,0,1,0,1,0,0,0,0,0,0
fear,0,0,0,2,0,2,1,1,0,0
fear,0,0,0,0,1,0,1,0,1,1
fear,0,0,0,0,0,0,0,0,0,0
fear,1,1,0,1,0,1,0,0,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,0,0,0,0,0,0,0,1,0,0
fear,1,0,0,0,0,0,0,0,1,0
fear,0,0,0,0,1,0,1,0,1,1
fear,0,1,0,0,0,0,1,0,1,1
fear,0,0,0,2,0,2,0,2,1,0
fear,0,1,0,0,1,1,1,1,0,1
fear,1,1,1,2,1,2,2,2,1,1
fear,0,1,0,1,0,0,0,0,0,0
fear,0,0,0,1,0,1,0,0,0,0
fear,1,1,0,2,0,1,2,0,0,0
fear,0,0,0,1,0,1,0,0,1,1
fear,0,0,0,1,0,1,0,1,1,0
fear,1,1,1,1,1,1,1,1,1,1
fear,0,0,0,0,0,0,1,1,0,0
fear,0,0,0,0,0,0,1,0,0,1
fear,0,0,0,0,0,1,1,1,0,1
fear,1,0,0,2,0,1,0,0,0,0
fear,0,0,0,0,0,0,2,0,0,0
fear,0,1,0,1,3,0,3,1,0,2
fear,1,1,1,1,1,0,1,0,1,1
fear,0,0,0,0,0,0,0,0,0,0
fear,0,2,0,0,2,2,2,2,1,1
fear,0,0,0,0,0,1,0,0,0,0
fear,1,0,1,1,0,1,0,1,1,0
fear,0,0,0,1,0,1,0,0,0,0
fear,0,1,0,0,2,3,2,0,1,1
fear,0,0,0,0,0,0,0,0,0,0
fear,2,1,1,2,0,2,1,1,0,1
fear,0,1,0,2,0,1,0,1,0,0
fear,1,1,0,1,0,1,0,0,0,0
fear,2,0,0,0,0,2,1,0,0,1
fear,0,1,0,0,0,0,0,0,0,1
fear,0,1,0,1,0,1,0,1,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,1,2,0,1,0,1,1,1,1,1
fear,0,0,0,0,0,0,0,0,0,0
fear,0,1,0,0,0,0,1,0,0,0
fear,1,1,0,1,0,1,0,0,1,1
fear,2,1,2,4,0,5,0,4,0,1
fear,1,1,1,2,2,3,2,2,1,1
fear,0,0,0,1,0,1,0,1,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,2,0,0,1,0,2,1,1,0,0
fear,0,0,0,1,0,0,0,0,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,1,1,2,3,1,3,1,2,1,2
fear,0,1,0,0,1,1,2,0,0,2
fear,0,1,0,0,1,0,2,0,0,0
fear,0,0,0,0,0,0,0,1,0,0
fear,1,0,0,1,0,1,0,0,0,0
fear,2,1,1,2,1,3,2,1,1,2
fear,0,0,0,2,0,2,0,2,1,1
fear,0,0,1,0,0,1,1,1,0,0
fear,0,1,1,1,0,2,0,1,0,0
fear,1,0,1,1,0,3,0,2,0,0
fear,0,0,0,1,0,1,0,1,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,1,0,1,2,0,2,0,1,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,0,1,0,0,0,0,1,0,0,1
fear,0,1,0,0,0,0,0,0,0,0
fear,0,0,0,0,0,1,0,1,0,0
fear,1,0,0,1,1,1,2,0,0,1
fear,0,0,0,0,1,1,1,0,0,1
fear,1,1,1,1,1,2,1,2,1,1
fear,0,1,0,0,0,0,0,0,0,0
fear,0,1,0,0,1,0,1,0,0,0
fear,1,0,0,1,0,3,0,2,1,0
fear,2,0,1,1,0,2,0,0,1,0
fear,1,0,0,0,0,1,0,2,0,0
fear,0,0,0,0,1,0,1,0,0,1
fear,0,0,0,0,0,1,0,1,0,0
fear,0,0,0,1,1,0,2,0,0,2
fear,1,0,1,1,0,1,0,1,0,0
fear,1,2,1,2,0,2,1,1,1,0
fear,1,0,0,1,0,2,1,2,0,0
fear,0,0,0,0,0,1,1,0,0,0
fear,1,0,0,1,0,2,1,0,0,0
fear,0,1,1,1,0,1,1,0,0,0
fear,1,1,1,1,1,1,2,1,1,2
fear,0,0,0,0,0,0,0,0,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,0,1,0,1,0,0,1,0,0,1
fear,0,2,0,0,0,0,0,0,0,0
fear,0,2,0,1,3,0,3,0,0,2
fear,0,1,0,1,0,1,1,0,0,0
fear,0,0,0,1,1,1,1,0,0,0
fear,0,1,1,0,0,1,0,1,1,0
fear,1,2,1,1,3,2,5,2,1,5
fear,1,2,1,1,2,1,3,1,1,1
fear,0,0,0,0,0,0,0,0,0,1
fear,1,0,0,0,0,1,1,0,0,1
fear,3,1,0,1,0,3,0,0,0,0
fear,0,1,0,1,1,1,1,1,1,1
fear,0,0,0,0,0,0,0,0,0,0
fear,0,0,0,1,0,1,0,0,0,0
fear,0,0,0,0,1,0,2,0,0,2
fear,1,1,1,1,2,1,2,1,1,2
fear,1,1,1,1,1,1,3,1,1,1
fear,0,0,0,1,0,2,0,0,1,0
fear,1,0,1,1,1,2,1,0,2,0
fear,1,1,1,1,0,1,1,1,0,0
fear,1,1,0,2,0,3,0,2,0,1
fear,1,1,1,4,1,4,3,2,1,3
fear,0,0,0,0,1,0,1,0,0,2
fear,1,0,0,1,2,1,2,1,0,0
fear,1,2,0,1,0,2,0,1,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,0,0,0,0,0,0,1,0,1,0
fear,0,0,1,0,0,1,1,0,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,1,1,1,1,1,2,1,2,1,1
fear,0,0,0,0,0,0,0,0,0,0
fear,0,1,0,0,2,0,2,0,2,2
fear,1,2,2,2,1,4,1,1,1,1
fear,1,0,1,3,0,2,0,2,0,2
fear,1,1,1,0,1,1,1,0,1,2
fear,1,3,1,3,1,3,1,2,2,1
fear,1,0,1,1,0,1,0,1,1,0
fear,2,0,1,4,1,5,1,3,2,1
fear,0,2,0,0,0,1,0,1,0,0
fear,0,0,0,1,0,1,2,0,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,1,1,1,1,1,1,1,1,2,1
fear,0,0,0,0,1,0,1,0,0,1
fear,0,0,0,0,0,2,0,0,0,0
fear,2,1,1,3,1,4,1,2,1,1
fear,0,1,0,0,0,0,0,0,1,0
fear,0,0,0,0,0,0,1,0,0,0
fear,2,2,1,2,1,3,2,2,0,0
fear,0,0,0,0,0,0,0,0,0,0
fear,1,1,1,1,0,1,0,1,0,0
